station,year,month,wdsp
KNOCK AIRPORT,2021,4,7.9
KNOCK AIRPORT,2021,5,8.4
KNOCK AIRPORT,2021,6,8.3
KNOCK AIRPORT,2021,7,6.1
KNOCK AIRPORT,2021,8,7.5
KNOCK AIRPORT,2021,9,7.1
KNOCK AIRPORT,2021,10,8.5
KNOCK AIRPORT,2021,11,8.9
KNOCK AIRPORT,2021,12,10.2
KNOCK AIRPORT,2022,1,8.8
KNOCK AIRPORT,2022,2,13.5
KNOCK AIRPORT,2022,3,8.8
KNOCK AIRPORT,2022,4,9.1
KNOCK AIRPORT,2022,5,9.3
KNOCK AIRPORT,2022,6,8.8
KNOCK AIRPORT,2022,7,7.4
KNOCK AIRPORT,2022,8,7.1
KNOCK AIRPORT,2022,9,7.8
KNOCK AIRPORT,2022,10,9.8
KNOCK AIRPORT,2022,11,9.9
KNOCK AIRPORT,2022,12,7.5
KNOCK AIRPORT,2023,1,9.6
KNOCK AIRPORT,2023,2,9.7
KNOCK AIRPORT,2023,3,8.8
KNOCK AIRPORT,2023,4,9.0
KNOCK AIRPORT,2023,5,7.4
KNOCK AIRPORT,2023,6,7.3
KNOCK AIRPORT,2023,7,8.8
KNOCK AIRPORT,2023,8,8.7
KNOCK AIRPORT,2023,9,7.8
KNOCK AIRPORT,2023,10,7.9
KNOCK AIRPORT,2023,11,8.7
KNOCK AIRPORT,2023,12,12.1
KNOCK AIRPORT,2024,1,9.3
KNOCK AIRPORT,2024,2,9.4
KNOCK AIRPORT,2024,3,10.0
KNOCK AIRPORT,2024,4,9.6
KNOCK AIRPORT,2024,5,7.5
KNOCK AIRPORT,2024,6,9.0
KNOCK AIRPORT,2024,7,7.7
KNOCK AIRPORT,2024,8,9.5
KNOCK AIRPORT,2024,9,8.3
KNOCK AIRPORT,2024,10,8.5
KNOCK AIRPORT,2024,11,7.8
KNOCK AIRPORT,2024,12,11.1
KNOCK AIRPORT,2025,1,9.4
KNOCK AIRPORT,2025,2,11.7
KNOCK AIRPORT,2025,3,9.0
